Most important phishing n_grams
349. o.co - freq: 80
350. 3030 - freq: 80
351. unes - freq: 79
352. 5289 - freq: 79
353. 1252 - freq: 79
354. ment - freq: 79
355. supp - freq: 78
356. tune - freq: 78
357. ple. - freq: 78
358. dex2 - freq: 78
359. 2899 - freq: 78
360. ex2. - freq: 78
361. on.c - freq: 77
362. itun - freq: 77
363. tml? - freq: 76
364. .asp - freq: 76
365. i.co - freq: 76
366. cess - freq: 76
367. uppo - freq: 76
368. 642& - freq: 76
369. ges/ - freq: 75
370. ppor - freq: 75
371. ://o - freq: 75
372. al.c - freq: 75
373. ?cou - freq: 74
374. /con - freq: 74
375. 2.ph - freq: 74
376. p-in - freq: 74
377. .app - freq: 73
378. 42&f - freq: 73
379. &fav - freq: 73
380. 1&fa - freq: 73
381. /pay - freq: 73
382. ific - freq: 73
383. 2&fi - freq: 73
384. reen - freq: 73
385. m/in - freq: 72
386. page - freq: 72
387. mage - freq: 72
388. imag - freq: 72
389. nt/s - freq: 72
390. fica - freq: 72
391. xa=& - freq: 71
392. ce.c - freq: 71
393. /hom - freq: 71
394. /onl - freq: 71
395. fid= - freq: 71
396. om.b - freq: 70
397. org/ - freq: 69
398. try. - freq: 69
399. /ima - freq: 69
400. ://n - freq: 69
401. //ma - freq: 68
402. pal. - freq: 68
403. /the - freq: 68
404. t/si - freq: 68
405. ry.x - freq: 68
406. nt/p - freq: 68
407. y.x= - freq: 68
408. wp-i - freq: 68
409. -inc - freq: 67
410. e.ht - freq: 67
411. /app - freq: 67
412. /cox - freq: 67
413. t/pl - freq: 67
414. ente - freq: 67
415. ffic - freq: 67
416. offi - freq: 66
417. ome/ - freq: 66
418. .mai - freq: 66
419. fice - freq: 66
420. full - freq: 65
421. r.co - freq: 65
422. /bof - freq: 65
423. om/d - freq: 64
424. bofa - freq: 64
425. yaho - freq: 64
426. s.ma - freq: 64
427. ://r - freq: 64
428. ine/ - freq: 64
429. ahoo - freq: 64
430. ofa/ - freq: 63
431. ://u - freq: 63
432. /yah - freq: 63
433. ion/ - freq: 63
434. id.1 - freq: 62
435. l.ht - freq: 62
436. /201 - freq: 61
437. rifi - freq: 61
438. them - freq: 60
439. id=1 - freq: 60
440. xn.1 - freq: 59
441. d=13 - freq: 59
442. 7c11 - freq: 59
443. n.17 - freq: 59
444. pxn. - freq: 59
445. ://h - freq: 59
446. ://f - freq: 59
447. vice - freq: 59
448. k.co - freq: 59
449. rvic - freq: 59
450. .177 - freq: 59
451. spxn - freq: 59
452. om/p - freq: 58
453. ons. - freq: 58
454. ght. - freq: 58
455. css/ - freq: 58
456. der/ - freq: 58
457. 6562 - freq: 58
458. ing/ - freq: 58
459. nd=1 - freq: 58
460. es.m - freq: 58
461. and= - freq: 58
462. s/wp - freq: 57
463. 7656 - freq: 57
464. 7765 - freq: 57
465. step - freq: 56
466. //.p - freq: 56
467. olut - freq: 56
468. =13ý - freq: 56
469. link - freq: 56
470. 5626 - freq: 56
471. hoo/ - freq: 56
472. /ste - freq: 56
473. x2.p - freq: 56
474. ine. - freq: 56
475. ess/ - freq: 56
