Most important legitimate n_grams
526. gov/ - freq: 30
527. chan - freq: 30
528. e-co - freq: 30
529. .the - freq: 30
530. ling - freq: 30
531. live - freq: 30
532. ype= - freq: 30
533. hat- - freq: 30
534. 8b_% - freq: 30
535. mart - freq: 30
536. 18-1 - freq: 30
537. vest - freq: 30
538. -11- - freq: 30
539. iver - freq: 30
540. watc - freq: 30
541. epag - freq: 30
542. %8b_ - freq: 30
543. amer - freq: 30
544. _%e2 - freq: 30
545. c4%b - freq: 30
546. soft - freq: 30
547. -cha - freq: 30
548. b_%e - freq: 30
549. fire - freq: 30
550. our- - freq: 29
551. tech - freq: 29
552. %b9% - freq: 29
553. .fr/ - freq: 29
554. phon - freq: 29
555. life - freq: 29
556. /en- - freq: 29
557. 8b/% - freq: 29
558. der. - freq: 29
559. 11/0 - freq: 29
560. ://f - freq: 29
561. mepa - freq: 29
562. 6%d8 - freq: 29
563. b/%e - freq: 29
564. rain - freq: 29
565. b4%d - freq: 29
566. ital - freq: 29
567. itic - freq: 29
568. elec - freq: 29
569. esta - freq: 29
570. %8b/ - freq: 29
571. auto - freq: 29
572. /.co - freq: 28
573. -new - freq: 28
574. ost. - freq: 28
575. test - freq: 28
576. .asp - freq: 28
577. 9%81 - freq: 28
578. card - freq: 28
579. e%e2 - freq: 28
580. cele - freq: 28
581. cent - freq: 28
582. plan - freq: 28
583. e.ht - freq: 28
584. .tr/ - freq: 28
585. cts/ - freq: 28
586. heal - freq: 28
587. unit - freq: 28
588. 8be% - freq: 28
589. ://w - freq: 28
590. id=1 - freq: 28
591. x.ht - freq: 28
592. rate - freq: 28
593. b2%e - freq: 28
594. read - freq: 28
595. ine- - freq: 28
596. aa%d - freq: 28
597. rump - freq: 28
598. rvic - freq: 28
599. erna - freq: 28
600. ers/ - freq: 28
601. erso - freq: 28
602. %8be - freq: 28
603. alth - freq: 28
604. side - freq: 28
605. d%3d - freq: 27
606. om.b - freq: 27
607. om/? - freq: 27
608. /.th - freq: 27
609. ome- - freq: 27
610. 8-11 - freq: 27
611. -per - freq: 27
612. -ser - freq: 27
613. 2f%2 - freq: 27
614. m.br - freq: 27
615. m.tr - freq: 27
616. m/ho - freq: 27
617. %ac% - freq: 27
618. m/re - freq: 27
619. m/vi - freq: 27
620. .br/ - freq: 27
621. 0%e2 - freq: 27
622. guid - freq: 27
623. prom - freq: 27
624. 5%d9 - freq: 27
625. load - freq: 27
626. w.co - freq: 27
627. /app - freq: 27
628. 8b0% - freq: 27
629. /int - freq: 27
630. 1/10 - freq: 27
631. ://i - freq: 27
632. /rea - freq: 27
633. /sig - freq: 27
634. ity- - freq: 27
635. %8b0 - freq: 27
636. ba%e - freq: 27
637. /.ch - freq: 26
638. /.mi - freq: 26
639. ome/ - freq: 26
640. -pre - freq: 26
641. t_id - freq: 26
642. xpre - freq: 26
643. -wor - freq: 26
644. 87%d - freq: 26
645. /?ut - freq: 26
646. gnup - freq: 26
647. play - freq: 26
648. 3a%2 - freq: 26
649. a%d9 - freq: 26
650. _id= - freq: 26
651. /pol - freq: 26
652. ignu - freq: 26
653. ree- - freq: 26
654. in.c - freq: 26
655. ring - freq: 26
656. ive- - freq: 26
657. c%d8 - freq: 26
658. ages - freq: 26
659. expr - freq: 26
660. secu - freq: 26
661. -ban - freq: 26
662. /.ba - freq: 25
663. -off - freq: 25
664. -rec - freq: 25
665. blac - freq: 25
666. bn%e - freq: 25
667. ters - freq: 25
668. %e6% - freq: 25
669. tr/t - freq: 25
670. cati - freq: 25
671. gory - freq: 25
672. lack - freq: 25
673. n%e2 - freq: 25
674. pple - freq: 25
675. e/20 - freq: 25
676. lick - freq: 25
677. comp - freq: 25
678. come - freq: 25
679. day- - freq: 25
680. 8bn% - freq: 25
681. dent - freq: 25
682. ://o - freq: 25
683. /ser - freq: 25
684. vent - freq: 25
685. ving - freq: 25
686. rade - freq: 25
687. b3%d - freq: 25
688. rial - freq: 25
689. ecur - freq: 25
690. rket - freq: 25
691. ence - freq: 25
692. ack- - freq: 25
693. week - freq: 25
694. erta - freq: 25
695. %8bn - freq: 25
696. ex.h - freq: 25
697. are- - freq: 25
698. arke - freq: 25
699. ator - freq: 25
700. smar - freq: 25
701. son- - freq: 25
702. offe - freq: 24
703. -is- - freq: 24
704. //.j - freq: 24
705. best - freq: 24
706. /.ne - freq: 24
707. /.we - freq: 24
708. oria - freq: 24
709. bloc - freq: 24
710. book - freq: 24
711. br%e - freq: 24
712. ted- - freq: 24
713. term - freq: 24
714. tes- - freq: 24
715. r%e2 - freq: 24
716. trad - freq: 24
717. good - freq: 24
718. r/tr - freq: 24
719. late - freq: 24
720. a%e2 - freq: 24
721. your - freq: 24
722. lock - freq: 24
723. log. - freq: 24
724. /det - freq: 24
725. ures - freq: 24
726. utio - freq: 24
727. 8ba% - freq: 24
728. 8br% - freq: 24
729. hone - freq: 24
730. deo/ - freq: 24
731. s-to - freq: 24
732. s-th - freq: 24
733. /web - freq: 24
734. ial- - freq: 24
735. id%3 - freq: 24
736. ics/ - freq: 24
737. =hom - freq: 24
738. regi - freq: 24
739. repo - freq: 24
740. imes - freq: 24
741. b9%e - freq: 24
742. edir - freq: 24
743. egra - freq: 24
744. rom= - freq: 24
745. rson - freq: 24
746. ent= - freq: 24
747. what - freq: 24
748. ette - freq: 24
749. noti - freq: 24
750. %8ba - freq: 24
751. %8br - freq: 24
752. alle - freq: 24
753. anne - freq: 24
754. ards - freq: 24
755. art- - freq: 24
756. ffer - freq: 24
757. spec - freq: 24
758. 8%b9 - freq: 23
759. om/u - freq: 23
760. /.ca - freq: 23
761. /.bi - freq: 23
762. orie - freq: 23
763. ble- - freq: 23
764. ort- - freq: 23
765. ownl - freq: 23
766. %ae% - freq: 23
767. gate - freq: 23
768. %be% - freq: 23
769. %da% - freq: 23
770. tran - freq: 23
771. legr - freq: 23
772. e-to - freq: 23
773. a%2f - freq: 23
774. cono - freq: 23
775. cons - freq: 23
776. hang - freq: 23
777. ulti - freq: 23
778. unde - freq: 23
779. hing - freq: 23
780. a6%a - freq: 23
781. f%2f - freq: 23
782. how- - freq: 23
783. 1.ht - freq: 23
784. mail - freq: 23
785. /per - freq: 23
786. ://u - freq: 23
787. ://h - freq: 23
788. mes. - freq: 23
789. mes/ - freq: 23
790. /sta - freq: 23
791. inve - freq: 23
792. ista - freq: 23
793. ite- - freq: 23
794. itor - freq: 23
795. romo - freq: 23
796. nk.c - freq: 23
797. %2f% - freq: 23
798. ader - freq: 23
799. %3a% - freq: 23
800. nloa - freq: 23
801. etin - freq: 23
802. %87- - freq: 23
803. wnlo - freq: 23
804. nves - freq: 23
805. aspx - freq: 23
806. shar - freq: 23
807. sona - freq: 23
808. ssio - freq: 22
809. -hom - freq: 22
810. //.x - freq: 22
811. bi%e - freq: 22
812. -rev - freq: 22
813. orte - freq: 22
814. 81%d - freq: 22
815. otic - freq: 22
816. 87-% - freq: 22
817. m/ma - freq: 22
818. m/st - freq: 22
819. =%3a - freq: 22
820. than - freq: 22
821. tics - freq: 22
822. i%e2 - freq: 22
823. para - freq: 22
824. cket - freq: 22
825. co.j - freq: 22
826. .tw/ - freq: 22
827. uct/ - freq: 22
828. n-tr - freq: 22
829. ure- - freq: 22
830. 8b2% - freq: 22
831. 8bi% - freq: 22
832. merc - freq: 22
833. /vie - freq: 22
834. ient - freq: 22
835. rave - freq: 22
836. musi - freq: 22
837. 2%e2 - freq: 22
838. rese - freq: 22
839. b9%d - freq: 22
840. rica - freq: 22
841. rity - freq: 22
842. nal/ - freq: 22
843. itio - freq: 22
844. ng-a - freq: 22
845. rt.c - freq: 22
846. enti - freq: 22
847. acco - freq: 22
848. %8b2 - freq: 22
849. %8bi - freq: 22
850. sale - freq: 22
851. athe - freq: 22
852. -des - freq: 22
853. -fre - freq: 21
854. bc.c - freq: 21
855. 8%a9 - freq: 21
856. -int - freq: 21
857. /.ho - freq: 21
858. /.st - freq: 21
859. olut - freq: 21
860. m%e2 - freq: 21
861. -pho - freq: 21
862. oper - freq: 21
863. bm%e - freq: 21
864. -res - freq: 21
865. otos - freq: 21
866. out- - freq: 21
867. bout - freq: 21
868. ties - freq: 21
869. tome - freq: 21
870. trav - freq: 21
871. cess - freq: 21
872. 0.ht - freq: 21
873. e-pr - freq: 21
874. prin - freq: 21
875. clic - freq: 21
876. .sta - freq: 21
877. code - freq: 21
878. ligh - freq: 21
879. head - freq: 21
880. ump- - freq: 21
881. luti - freq: 21
882. 1%e2 - freq: 21
883. his- - freq: 21
884. /for - freq: 21
885. 8b1% - freq: 21
886. usic - freq: 21
887. 8bm% - freq: 21
888. 1-%d - freq: 21
889. /mob - freq: 21
890. mall - freq: 21
891. mber - freq: 21
892. /pre - freq: 21
893. /sec - freq: 21
894. /spo - freq: 21
895. 6%d9 - freq: 21
896. b1%e - freq: 21
897. res- - freq: 21
898. eals - freq: 21
899. nal- - freq: 21
900. nce/ - freq: 21
901. ndin - freq: 21
902. eleb - freq: 21
903. en-t - freq: 21
904. entr - freq: 21
905. eric - freq: 21
906. erti - freq: 21
907. %8b1 - freq: 21
908. %8bm - freq: 21
909. andi - freq: 21
910. ay.c - freq: 21
911. fina - freq: 21
912. spm= - freq: 21
913. stoc - freq: 20
914. om%2 - freq: 20
915. /.fi - freq: 20
916. /.la - freq: 20
917. /.po - freq: 20
918. //st - freq: 20
919. onom - freq: 20
920. orta - freq: 20
921. -sto - freq: 20
922. -thi - freq: 20
923. tart - freq: 20
924. -tru - freq: 20
925. %b1- - freq: 20
926. m/co - freq: 20
927. %ad% - freq: 20
928. m/sh - freq: 20
929. ?spm - freq: 20
930. tock - freq: 20
931. tor- - freq: 20
932. .goo - freq: 20
933. lace - freq: 20
934. .new - freq: 20
935. 9-%d - freq: 20
936. cid= - freq: 20
937. e-de - freq: 20
938. e-do - freq: 20
939. leme - freq: 20
940. .ua/ - freq: 20
941. _con - freq: 20
942. _id% - freq: 20
943. uide - freq: 20
944. /com - freq: 20
945. 5419 - freq: 20
946. da%a - freq: 20
947. s-co - freq: 20
948. 1110 - freq: 20
949. man- - freq: 20
950. dia/ - freq: 20
951. disc - freq: 20
952. /pri - freq: 20
953. meri - freq: 20
954. /res - freq: 20
955. ques - freq: 20
956. visi - freq: 20
957. reat - freq: 20
958. rest - freq: 20
959. ead- - freq: 20
960. iste - freq: 20
961. rope - freq: 20
962. ng-s - freq: 20
963. eleg - freq: 20
964. abou - freq: 20
965. %3d2 - freq: 20
966. nkin - freq: 20
967. erie - freq: 20
968. age- - freq: 20
969. why- - freq: 20
970. ever - freq: 20
971. ales - freq: 20
972. anda - freq: 20
973. ang- - freq: 20
974. anti - freq: 20
975. are. - freq: 20
976. -bla - freq: 20
977. -cal - freq: 20
978. -che - freq: 20
979. -col - freq: 20
980. -fir - freq: 19
981. /.bo - freq: 19
982. /.ga - freq: 19
983. ft.c - freq: 19
984. /.pa - freq: 19
985. olle - freq: 19
986. olx. - freq: 19
987. //bl - freq: 19
988. //di - freq: 19
989. -nov - freq: 19
990. d-co - freq: 19
991. -spo - freq: 19
992. othe - freq: 19
993. ?id= - freq: 19
994. ?int - freq: 19
995. tes/ - freq: 19
996. m/de - freq: 19
997. m/us - freq: 19
998. thin - freq: 19
999. 9%e2 - freq: 19
1000. .ir/ - freq: 19
1001. plac - freq: 19
1002. .olx - freq: 19
1003. citi - freq: 19
1004. .pl/ - freq: 19
1005. e-se - freq: 19
1006. e-th - freq: 19
1007. .sht - freq: 19
1008. com% - freq: 19
1009. ll.c - freq: 19
1010. e5%a - freq: 19
1011. uest - freq: 19
1012. cred - freq: 19
1013. ller - freq: 19
1014. hare - freq: 19
1015. here - freq: 19
1016. /act - freq: 19
1017. /aut - freq: 19
1018. /ban - freq: 19
1019. ly.c - freq: 19
1020. 8b9% - freq: 19
1021. date - freq: 19
1022. dead - freq: 19
1023. s-of - freq: 19
1024. s-sh - freq: 19
1025. s-re - freq: 19
1026. dest - freq: 19
1027. s/pr - freq: 19
1028. ht_i - freq: 19
1029. /tel - freq: 19
1030. ice- - freq: 19
1031. icia - freq: 19
1032. icke - freq: 19
1033. rder - freq: 19
1034. refe - freq: 19
1035. ion= - freq: 19
1036. econ - freq: 19
1037. ire- - freq: 19
1038. efer - freq: 19
1039. isco - freq: 19
1040. nger - freq: 19
1041. er-a - freq: 19
1042. afte - freq: 19
1043. esea - freq: 19
1044. ail. - freq: 19
1045. %8b9 - freq: 19
1046. al-s - freq: 19
1047. nt.c - freq: 19
1048. shtm - freq: 19
1049. auth - freq: 19
1050. -all - freq: 19
1051. -gui - freq: 18
1052. sult - freq: 18
1053. -ind - freq: 18
1054. ol.c - freq: 18
1055. om.a - freq: 18
1056. /.di - freq: 18
1057. /.me - freq: 18
1058. /.ol - freq: 18
1059. -man - freq: 18
1060. //mo - freq: 18
1061. -mon - freq: 18
1062. //se - freq: 18
1063. fter - freq: 18
1064. bht_ - freq: 18
1065. -on- - freq: 18
1066. -ove - freq: 18
1067. bili - freq: 18
1068. ?fro - freq: 18
1069. tain - freq: 18
1070. talo - freq: 18
1071. %a7- - freq: 18
1072. %a9- - freq: 18
1073. %b5% - freq: 18
1074. m/bl - freq: 18
1075. m/po - freq: 18
1076. %cf% - freq: 18
1077. =%e2 - freq: 18
1078. tive - freq: 18
1079. ca.c - freq: 18
1080. glob - freq: 18
1081. ccou - freq: 18
1082. cf%8 - freq: 18
1083. plus - freq: 18
1084. r/co - freq: 18
1085. lang - freq: 18
1086. lar- - freq: 18
1087. char - freq: 18
1088. cion - freq: 18
1089. e-la - freq: 18
1090. les. - freq: 18
1091. co.i - freq: 18
1092. 3bht - freq: 18
1093. lien - freq: 18
1094. n-de - freq: 18
1095. llin - freq: 18
1096. loca - freq: 18
1097. her- - freq: 18
1098. /bus - freq: 18
1099. us.c - freq: 18
1100. urit - freq: 18
1101. 8b;% - freq: 18
1102. 8b=% - freq: 18
1103. f%d8 - freq: 18
1104. host - freq: 18
1105. s-ma - freq: 18
1106. depo - freq: 18
1107. desk - freq: 18
1108. s/th - freq: 18
1109. digi - freq: 18
1110. me.c - freq: 18
1111. /par - freq: 18
1112. /pla - freq: 18
1113. /sea - freq: 18
1114. /us/ - freq: 18
1115. vert - freq: 18
1116. ract - freq: 18
1117. rand - freq: 18
1118. 2%d8 - freq: 18
1119. in-c - freq: 18
1120. ed.c - freq: 18
1121. ;%e2 - freq: 18
1122. rist - freq: 18
1123. b;%e - freq: 18
1124. b=%e - freq: 18
1125. ity/ - freq: 18
1126. ware - freq: 18
1127. enta - freq: 18
1128. ad.c - freq: 18
1129. c%d9 - freq: 18
1130. ???? - freq: 18
1131. %3bh - freq: 18
1132. ess/ - freq: 18
1133. nomi - freq: 18
1134. %8b; - freq: 18
1135. %8b= - freq: 18
1136. ao.c - freq: 18
1137. 3%83 - freq: 18
1138. anki - freq: 18
1139. scri - freq: 18
1140. arge - freq: 18
1141. sing - freq: 18
1142. avel - freq: 18
1143. ferr - freq: 18
1144. ays- - freq: 18
1145. -app - freq: 18
1146. -cou - freq: 18
1147. -cre - freq: 18
1148. -dis - freq: 18
1149. h.co - freq: 18
1150. ogle - freq: 17
1151. ogra - freq: 17
1152. stre - freq: 17
1153. styl - freq: 17
