dictionary size=  100
list element size=  100000 

Start value = V  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (15, 'V')
V8          | (322512, 'M14'), (323019, 'X9'), (326799, 'K12'), (342577, 'Z12'), (332079, 'J13'), (337103, 'L25'), (363972, 'T22'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (335953, 'V22'), (339034, 'I'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (379548, 'Y14'), (384623, 'M23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4'), (391473, 'K23'), (394929, 'Z7')
M14         | (323019, 'X9'), (332079, 'J13'), (326799, 'K12'), (342577, 'Z12'), (335953, 'V22'), (337103, 'L25'), (363972, 'T22'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (379548, 'Y14'), (339034, 'I'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4'), (391473, 'K23')
X9          | (326799, 'K12'), (332079, 'J13'), (337103, 'L25'), (342577, 'Z12'), (335953, 'V22'), (339034, 'I'), (363972, 'T22'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (379548, 'Y14'), (384623, 'M23'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (394929, 'Z7'), (391473, 'K23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4')
K12         | (332079, 'J13'), (335953, 'V22'), (337103, 'L25'), (342577, 'Z12'), (356754, 'R12'), (339034, 'I'), (363972, 'T22'), (351466, 'Q24'), (346418, 'H16'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (391473, 'K23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0')
J13         | (335953, 'V22'), (342577, 'Z12'), (337103, 'L25'), (346418, 'H16'), (356754, 'R12'), (339034, 'I'), (363972, 'T22'), (351466, 'Q24'), (359434, 'U8'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (391473, 'K23'), (410673, 'P5'), (408603, 'Q16')
V22         | (337103, 'L25'), (342577, 'Z12'), (339034, 'I'), (346418, 'H16'), (356754, 'R12'), (365325, 'S8'), (363972, 'T22'), (351466, 'Q24'), (359434, 'U8'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (408603, 'Q16'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (391473, 'K23'), (410673, 'P5')
L25         | (339034, 'I'), (342577, 'Z12'), (363972, 'T22'), (346418, 'H16'), (356754, 'R12'), (365325, 'S8'), (373134, 'C21'), (351466, 'Q24'), (359434, 'U8'), (390566, 'J10'), (379548, 'Y14'), (384623, 'M23'), (408603, 'Q16'), (388311, 'T0'), (410673, 'P5'), (416082, 'X11'), (385051, 'S4'), (372642, 'S19'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (391473, 'K23')
I           | (342577, 'Z12'), (346418, 'H16'), (359005, 'Y22'), (351466, 'Q24'), (356754, 'R12'), (365325, 'S8'), (363972, 'T22'), (385051, 'S4'), (359434, 'U8'), (390566, 'J10'), (379548, 'Y14'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (391473, 'K23'), (372642, 'S19'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (426460, 'U14'), (410673, 'P5')
Z12         | (346418, 'H16'), (351466, 'Q24'), (359005, 'Y22'), (359434, 'U8'), (356754, 'R12'), (365325, 'S8'), (363972, 'T22'), (385051, 'S4'), (372642, 'S19'), (390566, 'J10'), (379548, 'Y14'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (391473, 'K23'), (410673, 'P5'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (426460, 'U14'), (385916, 'Y')
H16         | (351466, 'Q24'), (356754, 'R12'), (359005, 'Y22'), (359434, 'U8'), (379548, 'Y14'), (365325, 'S8'), (363972, 'T22'), (385051, 'S4'), (372642, 'S19'), (390566, 'J10'), (385916, 'Y'), (378116, 'I9'), (401902, 'N19'), (388311, 'T0'), (373134, 'C21'), (416082, 'X11'), (391473, 'K23'), (410673, 'P5'), (400683, 'R0'), (391007, 'G10'), (393073, 'R4'), (386926, 'L16'), (394929, 'Z7'), (384623, 'M23'), (425814, 'J11'), (420573, 'L2'), (408603, 'Q16'), (420843, 'O5'), (394470, 'O21'), (426460, 'U14')
