dictionary size=  1000
list element size=  10 

Start value = T  Goal value = I 

Expand Node | Fringe
--------------------
-           | (489, 'T')
N13         | (291, 'N'), (297, 'F19'), (371, 'Q4'), (300, 'W5'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (303, 'L8'), (642, 'Z21'), (313, 'K'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (929, 'C'), (914, 'X7'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (632, 'L'), (933, 'M14'), (955, 'Z4'), (937, 'X15'), (1003, 'Z0'), (950, 'M4')
N           | (94, 'V14'), (297, 'F19'), (371, 'Q4'), (303, 'L8'), (300, 'W5'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (642, 'Z21'), (302, 'X11'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (929, 'C'), (735, 'P4'), (313, 'K'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4'), (937, 'X15'), (1003, 'Z0'), (914, 'X7'), (726, 'W17'), (364, 'X16')
V14         | (297, 'F19'), (300, 'W5'), (371, 'Q4'), (303, 'L8'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (642, 'Z21'), (313, 'K'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (929, 'C'), (735, 'P4'), (364, 'X16'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4'), (937, 'X15'), (1003, 'Z0'), (914, 'X7'), (726, 'W17')
F19         | (300, 'W5'), (302, 'X11'), (371, 'Q4'), (303, 'L8'), (313, 'K'), (578, 'V24'), (429, 'I8'), (429, 'X3'), (642, 'Z21'), (364, 'X16'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (929, 'C'), (735, 'P4'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4'), (937, 'X15'), (1003, 'Z0'), (914, 'X7')
W5          | (302, 'X11'), (303, 'L8'), (371, 'Q4'), (429, 'X3'), (313, 'K'), (578, 'V24'), (429, 'I8'), (632, 'L'), (642, 'Z21'), (364, 'X16'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (914, 'X7'), (929, 'C'), (735, 'P4'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4'), (937, 'X15'), (1003, 'Z0')
X11         | (303, 'L8'), (313, 'K'), (371, 'Q4'), (429, 'X3'), (364, 'X16'), (578, 'V24'), (429, 'I8'), (632, 'L'), (642, 'Z21'), (470, 'L24'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (914, 'X7'), (929, 'C'), (735, 'P4'), (726, 'W17'), (1003, 'Z0'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4'), (937, 'X15')
L8          | (313, 'K'), (364, 'X16'), (371, 'Q4'), (429, 'X3'), (470, 'L24'), (578, 'V24'), (429, 'I8'), (632, 'L'), (642, 'Z21'), (726, 'W17'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (914, 'X7'), (929, 'C'), (735, 'P4'), (937, 'X15'), (1003, 'Z0'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (950, 'M4'), (933, 'M14'), (955, 'Z4')
K           | (66, 'M23'), (145, 'R5'), (371, 'Q4'), (364, 'X16'), (252, 'W22'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (429, 'X3'), (275, 'W6'), (273, 'O20'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (632, 'L'), (470, 'L24'), (402, 'R2'), (702, 'Q16'), (505, 'Y22'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (735, 'P4'), (839, 'Q10'), (937, 'X15'), (726, 'W17'), (1003, 'Z0'), (973, 'R10'), (836, 'A12'), (1029, 'X2'), (885, 'N14')
M23         | (145, 'R5'), (252, 'W22'), (371, 'Q4'), (364, 'X16'), (273, 'O20'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (429, 'X3'), (275, 'W6'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (632, 'L'), (470, 'L24'), (402, 'R2'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (735, 'P4'), (839, 'Q10'), (937, 'X15'), (726, 'W17'), (1003, 'Z0'), (973, 'R10'), (836, 'A12'), (1029, 'X2')
R5          | (252, 'W22'), (273, 'O20'), (371, 'Q4'), (364, 'X16'), (275, 'W6'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (429, 'X3'), (402, 'R2'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (632, 'L'), (470, 'L24'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (735, 'P4'), (839, 'Q10'), (937, 'X15'), (726, 'W17'), (1003, 'Z0'), (1029, 'X2'), (836, 'A12')
W22         | (273, 'O20'), (275, 'W6'), (371, 'Q4'), (364, 'X16'), (402, 'R2'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (429, 'X3'), (470, 'L24'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (632, 'L'), (726, 'W17'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (735, 'P4'), (839, 'Q10'), (937, 'X15'), (836, 'A12'), (1003, 'Z0'), (1029, 'X2')
O20         | (275, 'W6'), (364, 'X16'), (371, 'Q4'), (429, 'X3'), (402, 'R2'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (632, 'L'), (470, 'L24'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (735, 'P4'), (726, 'W17'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (1029, 'X2'), (839, 'Q10'), (937, 'X15'), (836, 'A12'), (1003, 'Z0')
W6          | (364, 'X16'), (402, 'R2'), (371, 'Q4'), (429, 'X3'), (470, 'L24'), (578, 'V24'), (429, 'I8'), (632, 'S5'), (632, 'L'), (726, 'W17'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (1029, 'X2'), (839, 'Q10'), (937, 'X15'), (1003, 'Z0')
X16         | (371, 'Q4'), (402, 'R2'), (429, 'I8'), (429, 'X3'), (470, 'L24'), (578, 'V24'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (726, 'W17'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (869, 'K22'), (926, 'K3'), (914, 'X7'), (642, 'Z21'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (1003, 'Z0'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (786, 'N1'), (1029, 'X2'), (839, 'Q10'), (937, 'X15')
Q4          | (402, 'R2'), (429, 'X3'), (429, 'I8'), (632, 'L'), (470, 'L24'), (578, 'V24'), (659, 'Q11'), (632, 'S5'), (642, 'Z21'), (726, 'W17'), (505, 'Y22'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (869, 'K22'), (926, 'K3'), (914, 'X7'), (786, 'N1'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (1003, 'Z0'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (937, 'X15'), (1029, 'X2'), (839, 'Q10')
R2          | (429, 'I8'), (429, 'X3'), (578, 'V24'), (632, 'L'), (470, 'L24'), (663, 'X5'), (659, 'Q11'), (632, 'S5'), (642, 'Z21'), (726, 'W17'), (505, 'Y22'), (739, 'G'), (811, 'J18'), (873, 'Q8'), (869, 'K22'), (926, 'K3'), (914, 'X7'), (786, 'N1'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (702, 'Q16'), (885, 'N14'), (907, 'B12'), (839, 'Q10'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (1003, 'Z0'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (937, 'X15'), (1029, 'X2')
I8          | (429, 'X3'), (470, 'L24'), (578, 'V24'), (632, 'L'), (505, 'Y22'), (663, 'X5'), (659, 'Q11'), (632, 'S5'), (642, 'Z21'), (726, 'W17'), (702, 'Q16'), (739, 'G'), (811, 'J18'), (873, 'Q8'), (869, 'K22'), (926, 'K3'), (914, 'X7'), (786, 'N1'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (1029, 'X2'), (885, 'N14'), (907, 'B12'), (839, 'Q10'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (1003, 'Z0'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C'), (937, 'X15')
X3          | (470, 'L24'), (505, 'Y22'), (578, 'V24'), (632, 'L'), (702, 'Q16'), (663, 'X5'), (659, 'Q11'), (632, 'S5'), (642, 'Z21'), (726, 'W17'), (885, 'N14'), (739, 'G'), (811, 'J18'), (873, 'Q8'), (869, 'K22'), (926, 'K3'), (914, 'X7'), (786, 'N1'), (735, 'P4'), (836, 'A12'), (973, 'R10'), (1029, 'X2'), (937, 'X15'), (907, 'B12'), (839, 'Q10'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (1003, 'Z0'), (982, 'W'), (955, 'Z4'), (950, 'M4'), (933, 'M14'), (929, 'C')
