dictionary size=  10000
list element size=  100 

Start value = J  Goal value = P 

Expand Node | Fringe
--------------------
-           | (7197, 'J')
D13         | (5852, 'G'), (6145, 'X10'), (5880, 'V0'), (6198, 'W11'), (6641, 'P18'), (6485, 'L19'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (8790, 'Y6'), (6201, 'X21'), (7935, 'Q24'), (10093, 'I9'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (9588, 'M15')
G           | (499, 'K1'), (1322, 'T20'), (4710, 'G15'), (1359, 'I21'), (5744, 'Y19'), (6485, 'L19'), (5793, 'H23'), (5013, 'R17'), (1607, 'Q12'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (5880, 'V0'), (6198, 'W11'), (6145, 'X10'), (6472, 'S19'), (4096, 'V1'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8547, 'I5'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (9002, 'S6'), (8122, 'Q15'), (6581, 'S7'), (10038, 'W13'), (4740, 'X6'), (9145, 'S6'), (8936, 'X23')
K1          | (1322, 'T20'), (1359, 'I21'), (4710, 'G15'), (1607, 'Q12'), (5744, 'Y19'), (6485, 'L19'), (5793, 'H23'), (5013, 'R17'), (4096, 'V1'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (5880, 'V0'), (6198, 'W11'), (6145, 'X10'), (6472, 'S19'), (4740, 'X6'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8547, 'I5'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (9002, 'S6'), (8122, 'Q15'), (6581, 'S7'), (10038, 'W13'), (8936, 'X23'), (9145, 'S6')
T20         | (1359, 'I21'), (1607, 'Q12'), (4710, 'G15'), (4096, 'V1'), (5744, 'Y19'), (6485, 'L19'), (5793, 'H23'), (5013, 'R17'), (4740, 'X6'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (5880, 'V0'), (6198, 'W11'), (6145, 'X10'), (6472, 'S19'), (8936, 'X23'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8547, 'I5'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (9002, 'S6'), (8122, 'Q15'), (6581, 'S7'), (10038, 'W13'), (9145, 'S6')
I21         | (1607, 'Q12'), (4096, 'V1'), (4710, 'G15'), (4740, 'X6'), (5744, 'Y19'), (6485, 'L19'), (5793, 'H23'), (5013, 'R17'), (6472, 'S19'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (5880, 'V0'), (6198, 'W11'), (6145, 'X10'), (6581, 'S7'), (8936, 'X23'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8547, 'I5'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (9002, 'S6'), (8122, 'Q15'), (9145, 'S6'), (10038, 'W13')
Q12         | (4096, 'V1'), (4729, 'Q'), (4710, 'G15'), (4740, 'X6'), (5744, 'Y19'), (6485, 'L19'), (5793, 'H23'), (6145, 'X10'), (5013, 'R17'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (5880, 'V0'), (6198, 'W11'), (9002, 'S6'), (6581, 'S7'), (6472, 'S19'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8547, 'I5'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9145, 'S6'), (8936, 'X23')
V1          | (4710, 'G15'), (4729, 'Q'), (5793, 'H23'), (4740, 'X6'), (5744, 'Y19'), (6485, 'L19'), (5880, 'V0'), (6145, 'X10'), (5013, 'R17'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (6198, 'W11'), (9002, 'S6'), (6581, 'S7'), (6472, 'S19'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9145, 'S6'), (8051, 'C')
G15         | (4729, 'Q'), (4740, 'X6'), (5793, 'H23'), (5013, 'R17'), (5744, 'Y19'), (6485, 'L19'), (5880, 'V0'), (6145, 'X10'), (6472, 'S19'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (6198, 'W11'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (7935, 'Q24'), (6406, 'Q2'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9145, 'S6')
Q           | (1050, 'W0'), (4740, 'X6'), (5793, 'H23'), (5013, 'R17'), (5744, 'Y19'), (6485, 'L19'), (5880, 'V0'), (6198, 'W11'), (6145, 'X10'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (6406, 'Q2'), (9002, 'S6'), (6581, 'S7'), (6472, 'S19'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (7935, 'Q24'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9592, 'Q23'), (8051, 'C'), (8962, 'W19')
W0          | (4740, 'X6'), (5013, 'R17'), (5793, 'H23'), (6145, 'X10'), (5744, 'Y19'), (6485, 'L19'), (5880, 'V0'), (6198, 'W11'), (6472, 'S19'), (6641, 'P18'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (6406, 'Q2'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (6919, 'N20'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (7935, 'Q24'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9592, 'Q23'), (8962, 'W19'), (9325, 'W')
