dictionary size=  1000000
list element size=  1000 

Start value = H  Goal value = M 

Expand Node | Fringe
--------------------
-           | (401223, 'H')
R10         | (266254, 'F5'), (458165, 'M9'), (393704, 'T15'), (478616, 'H13'), (488144, 'N0'), (567427, 'I21'), (491489, 'V14'), (777580, 'O21'), (534896, 'G21'), (843998, 'T22'), (546868, 'E7'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (738591, 'X7'), (895699, 'Y6'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (554142, 'G'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (994934, 'X6'), (983833, 'X15')
F5          | (393704, 'T15'), (458165, 'M9'), (491489, 'V14'), (478616, 'H13'), (488144, 'N0'), (567427, 'I21'), (738591, 'X7'), (777580, 'O21'), (534896, 'G21'), (843998, 'T22'), (546868, 'E7'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (983833, 'X15'), (895699, 'Y6'), (866656, 'T20'), (868502, 'Q'), (664951, 'Y24'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (554142, 'G'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (994934, 'X6')
T15         | (458165, 'M9'), (478616, 'H13'), (491489, 'V14'), (534896, 'G21'), (488144, 'N0'), (567427, 'I21'), (528261, 'C'), (777580, 'O21'), (664951, 'Y24'), (843998, 'T22'), (546868, 'E7'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (738591, 'X7'), (895699, 'Y6'), (866656, 'T20'), (868502, 'Q'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (554142, 'G'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (983833, 'X15')
M9          | (154891, 'J'), (488144, 'N0'), (478616, 'H13'), (534896, 'G21'), (546868, 'E7'), (567427, 'I21'), (491489, 'V14'), (777580, 'O21'), (664951, 'Y24'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (895699, 'Y6'), (866656, 'T20'), (868502, 'Q'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (738591, 'X7')
J           | (67904, 'V22'), (111051, 'Q25'), (478616, 'H13'), (202347, 'L17'), (112608, 'R11'), (567427, 'I21'), (491489, 'V14'), (534896, 'G21'), (219730, 'L16'), (546868, 'E7'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (735513, 'O17'), (780543, 'O23'), (664951, 'Y24'), (488144, 'N0'), (843998, 'T22'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (738591, 'X7'), (895699, 'Y6'), (777580, 'O21'), (866656, 'T20'), (901533, 'P7'), (945924, 'P10'), (868502, 'Q'), (994934, 'X6'), (611401, 'V4'), (963903, 'Q0')
V22         | (111051, 'Q25'), (112608, 'R11'), (478616, 'H13'), (202347, 'L17'), (546868, 'E7'), (567427, 'I21'), (491489, 'V14'), (534896, 'G21'), (219730, 'L16'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (735513, 'O17'), (780543, 'O23'), (664951, 'Y24'), (488144, 'N0'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (738591, 'X7'), (895699, 'Y6'), (777580, 'O21'), (866656, 'T20'), (901533, 'P7'), (945924, 'P10'), (868502, 'Q'), (994934, 'X6'), (611401, 'V4')
Q25         | (112608, 'R11'), (202347, 'L17'), (478616, 'H13'), (219730, 'L16'), (546868, 'E7'), (567427, 'I21'), (491489, 'V14'), (534896, 'G21'), (488144, 'N0'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (735513, 'O17'), (780543, 'O23'), (664951, 'Y24'), (611401, 'V4'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (738591, 'X7'), (895699, 'Y6'), (777580, 'O21'), (866656, 'T20'), (901533, 'P7'), (945924, 'P10'), (868502, 'Q'), (994934, 'X6')
R11         | (202347, 'L17'), (219730, 'L16'), (478616, 'H13'), (488144, 'N0'), (546868, 'E7'), (567427, 'I21'), (491489, 'V14'), (534896, 'G21'), (611401, 'V4'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (735513, 'O17'), (780543, 'O23'), (664951, 'Y24'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (738591, 'X7'), (895699, 'Y6'), (777580, 'O21'), (866656, 'T20'), (901533, 'P7'), (945924, 'P10'), (868502, 'Q')
L17         | (219730, 'L16'), (488144, 'N0'), (478616, 'H13'), (534896, 'G21'), (546868, 'E7'), (567427, 'I21'), (491489, 'V14'), (735513, 'O17'), (611401, 'V4'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (528261, 'C'), (777580, 'O21'), (780543, 'O23'), (664951, 'Y24'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (738591, 'X7'), (895699, 'Y6'), (868502, 'Q'), (866656, 'T20'), (901533, 'P7'), (945924, 'P10')
L16         | (478616, 'H13'), (488144, 'N0'), (491489, 'V14'), (534896, 'G21'), (546868, 'E7'), (567427, 'I21'), (528261, 'C'), (735513, 'O17'), (611401, 'V4'), (843998, 'T22'), (554142, 'G'), (697938, 'N10'), (740469, 'K18'), (852824, 'K15'), (738591, 'X7'), (777580, 'O21'), (780543, 'O23'), (664951, 'Y24'), (994934, 'X6'), (963903, 'Q0'), (874454, 'P5'), (869632, 'Q'), (983833, 'X15'), (908234, 'W13'), (826883, 'I16'), (985751, 'J3'), (879227, 'E13'), (911581, 'F'), (909830, 'F'), (959411, 'J13'), (945924, 'P10'), (895699, 'Y6'), (868502, 'Q'), (866656, 'T20'), (901533, 'P7')
