dictionary size=  1000
list element size=  10000 

Start value = I  Goal value = W 

Expand Node | Fringe
--------------------
-           | (53, 'I')
S11         | (22305, 'Q8'), (22328, 'H23'), (22902, 'J4'), (22908, 'M17'), (23171, 'R14'), (23957, 'Y0'), (24583, 'C16'), (24871, 'Q15'), (24469, 'K'), (25217, 'U15'), (23462, 'X2'), (25410, 'T22'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (27893, 'P18')
Q8          | (22328, 'H23'), (22908, 'M17'), (22902, 'J4'), (24469, 'K'), (23171, 'R14'), (23957, 'Y0'), (24583, 'C16'), (24871, 'Q15'), (27893, 'P18'), (25217, 'U15'), (23462, 'X2'), (25410, 'T22'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (29423, 'A')
H23         | (22902, 'J4'), (22908, 'M17'), (23957, 'Y0'), (24469, 'K'), (23171, 'R14'), (25410, 'T22'), (24583, 'C16'), (24871, 'Q15'), (27893, 'P18'), (25217, 'U15'), (23462, 'X2'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (28077, 'Z16')
J4          | (22908, 'M17'), (23171, 'R14'), (23957, 'Y0'), (24469, 'K'), (23462, 'X2'), (25410, 'T22'), (24583, 'C16'), (24871, 'Q15'), (27893, 'P18'), (25217, 'U15'), (28077, 'Z16'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (29754, 'G')
M17         | (23171, 'R14'), (23462, 'X2'), (23957, 'Y0'), (24469, 'K'), (25217, 'U15'), (25410, 'T22'), (24583, 'C16'), (24871, 'Q15'), (27893, 'P18'), (29754, 'G'), (28077, 'Z16'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J')
R14         | (23462, 'X2'), (24469, 'K'), (23957, 'Y0'), (24871, 'Q15'), (25217, 'U15'), (25410, 'T22'), (24583, 'C16'), (29306, 'L'), (27893, 'P18'), (29754, 'G'), (28077, 'Z16'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29545, 'J')
X2          | (23957, 'Y0'), (24469, 'K'), (24583, 'C16'), (24765, 'O'), (25217, 'U15'), (25410, 'T22'), (26354, 'W19'), (24871, 'Q15'), (27893, 'P18'), (29754, 'G'), (28077, 'Z16'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (29545, 'J'), (29306, 'L'), (25854, 'N')
Y0          | (24469, 'K'), (24765, 'O'), (24583, 'C16'), (24871, 'Q15'), (25217, 'U15'), (25410, 'T22'), (26354, 'W19'), (25854, 'N'), (27893, 'P18'), (29754, 'G'), (28077, 'Z16'), (29423, 'A'), (26426, 'T'), (29954, 'G'), (29545, 'J'), (29306, 'L')
K           | (24583, 'C16'), (24765, 'O'), (25410, 'T22'), (24871, 'Q15'), (25217, 'U15'), (26426, 'T'), (26354, 'W19'), (25239, 'M23'), (27893, 'P18'), (27616, 'W14'), (25318, 'X9'), (29423, 'A'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (25854, 'N'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (28077, 'Z16'), (28270, 'X20')
C16         | (24765, 'O'), (24871, 'Q15'), (25410, 'T22'), (25239, 'M23'), (25217, 'U15'), (26426, 'T'), (26354, 'W19'), (25854, 'N'), (27893, 'P18'), (27616, 'W14'), (25318, 'X9'), (29423, 'A'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (28270, 'X20'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (28077, 'Z16')
O           | (24871, 'Q15'), (25217, 'U15'), (25213, 'X9'), (25239, 'M23'), (25318, 'X9'), (25410, 'T22'), (26354, 'W19'), (25854, 'N'), (27893, 'P18'), (27616, 'W14'), (28077, 'Z16'), (29390, 'R7'), (26426, 'T'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (28270, 'X20'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (31306, 'P4'), (34860, 'P19'), (29423, 'A'), (31523, 'V1'), (32721, 'X7'), (29306, 'L')
Q15         | (25213, 'X9'), (25217, 'U15'), (25410, 'T22'), (25239, 'M23'), (25318, 'X9'), (26426, 'T'), (26354, 'W19'), (25854, 'N'), (27893, 'P18'), (27616, 'W14'), (28077, 'Z16'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (28270, 'X20'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (31306, 'P4'), (34860, 'P19'), (29423, 'A'), (31523, 'V1'), (32721, 'X7')
X9          | (25217, 'U15'), (25239, 'M23'), (25410, 'T22'), (25854, 'N'), (25318, 'X9'), (26426, 'T'), (26354, 'W19'), (28270, 'X20'), (27893, 'P18'), (27616, 'W14'), (28077, 'Z16'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (32721, 'X7'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (29754, 'G'), (31306, 'P4'), (34860, 'P19'), (29423, 'A'), (31523, 'V1')
U15         | (25239, 'M23'), (25318, 'X9'), (25410, 'T22'), (25854, 'N'), (27616, 'W14'), (26426, 'T'), (26354, 'W19'), (28270, 'X20'), (27893, 'P18'), (29754, 'G'), (28077, 'Z16'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (32721, 'X7'), (29373, 'O24'), (35020, 'R25'), (32569, 'U4'), (31523, 'V1'), (31306, 'P4'), (34860, 'P19'), (29423, 'A')
M23         | (25318, 'X9'), (25854, 'N'), (25410, 'T22'), (27893, 'P18'), (27616, 'W14'), (26426, 'T'), (26354, 'W19'), (28270, 'X20'), (29373, 'O24'), (29754, 'G'), (28077, 'Z16'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (29545, 'J'), (33904, 'M5'), (32721, 'X7'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (31523, 'V1'), (31306, 'P4'), (34860, 'P19')
X9          | (25410, 'T22'), (25854, 'N'), (26354, 'W19'), (27893, 'P18'), (27616, 'W14'), (26426, 'T'), (29545, 'J'), (28270, 'X20'), (29373, 'O24'), (29754, 'G'), (28077, 'Z16'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (32721, 'X7'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (31523, 'V1'), (31306, 'P4')
T22         | (25854, 'N'), (27616, 'W14'), (26354, 'W19'), (27893, 'P18'), (28077, 'Z16'), (26426, 'T'), (29545, 'J'), (28270, 'X20'), (29373, 'O24'), (29754, 'G'), (31306, 'P4'), (29390, 'R7'), (29306, 'L'), (29954, 'G'), (34860, 'P19'), (33904, 'M5'), (32721, 'X7'), (29423, 'A'), (35020, 'R25'), (32569, 'U4'), (31523, 'V1')
