dictionary size=  10000
list element size=  1000 

Start value = O  Goal value = K 

Expand Node | Fringe
X20         | (8490, 'L17'), (9554, 'X21'), (8746, 'D6'), (9833, 'V16'), (10063, 'L24'), (9906, 'A25'), (9747, 'T7'), (9964, 'O22'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (10978, 'H'), (11294, 'E24'), (10589, 'D16'), (9823, 'I'), (10486, 'E10'), (9994, 'X'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11235, 'N21'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (12445, 'V'), (10320, 'R18'), (10892, 'S9'), (12932, 'X10'), (13379, 'F22'), (15219, 'K10'), (15744, 'S')
L17         | (8746, 'D6'), (9554, 'X21'), (9747, 'T7'), (9833, 'V16'), (10063, 'L24'), (9906, 'A25'), (9823, 'I'), (9964, 'O22'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (10978, 'H'), (11294, 'E24'), (10589, 'D16'), (10320, 'R18'), (10486, 'E10'), (9994, 'X'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11235, 'N21'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (12445, 'V'), (15744, 'S'), (10892, 'S9'), (12932, 'X10'), (13379, 'F22'), (15219, 'K10')
D6          | (9554, 'X21'), (9833, 'V16'), (9747, 'T7'), (9964, 'O22'), (10063, 'L24'), (9906, 'A25'), (9823, 'I'), (9994, 'X'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (10978, 'H'), (11294, 'E24'), (10589, 'D16'), (10320, 'R18'), (10486, 'E10'), (13379, 'F22'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11235, 'N21'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (12445, 'V'), (15744, 'S'), (10892, 'S9'), (12932, 'X10'), (15219, 'K10')
X21         | (9747, 'T7'), (9833, 'V16'), (9823, 'I'), (9964, 'O22'), (10063, 'L24'), (9906, 'A25'), (10320, 'R18'), (9994, 'X'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (10978, 'H'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (13379, 'F22'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11235, 'N21'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (10892, 'S9'), (12932, 'X10')
T7          | (9823, 'I'), (9833, 'V16'), (9906, 'A25'), (9964, 'O22'), (10063, 'L24'), (10978, 'H'), (10320, 'R18'), (9994, 'X'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (13379, 'F22'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (10892, 'S9')
I           | (5618, 'U3'), (5789, 'Z17'), (9906, 'A25'), (9378, 'U13'), (10063, 'L24'), (10978, 'H'), (10320, 'R18'), (9964, 'O22'), (9833, 'V16'), (10624, 'S6'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (9994, 'X'), (11291, 'Z12'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (14300, 'I1'), (10892, 'S9'), (13379, 'F22'), (13262, 'X18'), (13915, 'Y2'), (11442, 'K15')
U3          | (5789, 'Z17'), (5801, 'G'), (9906, 'A25'), (9378, 'U13'), (10063, 'L24'), (10978, 'H'), (10320, 'R18'), (9964, 'O22'), (9833, 'V16'), (10624, 'S6'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (9994, 'X'), (11291, 'Z12'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (14300, 'I1'), (10892, 'S9'), (13379, 'F22'), (13262, 'X18'), (13915, 'Y2'), (11442, 'K15')
Z17         | (5801, 'G'), (9378, 'U13'), (9906, 'A25'), (9833, 'V16'), (10063, 'L24'), (10978, 'H'), (10320, 'R18'), (9964, 'O22'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (9994, 'X'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (14300, 'I1'), (10892, 'S9'), (13379, 'F22'), (13262, 'X18'), (13915, 'Y2')
G           | (8129, 'K2'), (9305, 'H25'), (9906, 'A25'), (9378, 'U13'), (9368, 'X16'), (10978, 'H'), (10320, 'R18'), (9994, 'X'), (9833, 'V16'), (10063, 'L24'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (13262, 'X18'), (9964, 'O22'), (10770, 'K21'), (10758, 'P16'), (10624, 'S6'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (14300, 'I1'), (10892, 'S9'), (13379, 'F22'), (13915, 'Y2'), (11442, 'K15'), (11291, 'Z12'), (11927, 'N'), (15158, 'N12'), (14764, 'K25'), (14925, 'P24'), (14328, 'S13'), (11906, 'W23')
K2          | (9305, 'H25'), (9368, 'X16'), (9906, 'A25'), (9378, 'U13'), (10063, 'L24'), (10978, 'H'), (10320, 'R18'), (9994, 'X'), (9833, 'V16'), (10624, 'S6'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (10589, 'D16'), (12445, 'V'), (10486, 'E10'), (13262, 'X18'), (9964, 'O22'), (10770, 'K21'), (10758, 'P16'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (12932, 'X10'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (15219, 'K10'), (15744, 'S'), (14300, 'I1'), (10892, 'S9'), (13379, 'F22'), (13915, 'Y2'), (11442, 'K15'), (11291, 'Z12'), (11927, 'N'), (15158, 'N12'), (14764, 'K25'), (14925, 'P24'), (14328, 'S13')
