dictionary size=  10
list element size=  1000 

Start value = V  Goal value = K 

Expand Node | Fringe
--------------------
-           | (4, 'V')
X15         | (3462, 'V16'), (3520, 'I10'), (3694, 'I2'), (3556, 'F8'), (3525, 'E18'), (3854, 'N6'), (4038, 'T'), (3561, 'V20'), (3592, 'F13'), (3810, 'H17'), (3592, 'V6'), (3932, 'L14'), (4128, 'S')
V16         | (3506, 'J'), (3525, 'E18'), (3520, 'I10'), (3556, 'F8'), (3592, 'V6'), (3694, 'I2'), (4038, 'T'), (3561, 'V20'), (3592, 'F13'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (3854, 'N6')
J           | (3520, 'I10'), (3525, 'E18'), (3694, 'I2'), (3541, 'S16'), (3592, 'V6'), (3854, 'N6'), (4038, 'T'), (3556, 'F8'), (3592, 'F13'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (4444, 'J11'), (4458, 'J14'), (4163, 'L8'), (4228, 'R8'), (3561, 'V20'), (4355, 'T10')
I10         | (3525, 'E18'), (3541, 'S16'), (3694, 'I2'), (3556, 'F8'), (3592, 'V6'), (3854, 'N6'), (4038, 'T'), (3561, 'V20'), (3592, 'F13'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (4444, 'J11'), (4458, 'J14'), (4163, 'L8'), (4228, 'R8'), (4355, 'T10')
E18         | (3541, 'S16'), (3556, 'F8'), (3694, 'I2'), (3561, 'V20'), (3592, 'V6'), (3854, 'N6'), (4038, 'T'), (4228, 'R8'), (3592, 'F13'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (4444, 'J11'), (4458, 'J14'), (4163, 'L8'), (4355, 'T10')
S16         | (3556, 'F8'), (3561, 'V20'), (3694, 'I2'), (3592, 'F13'), (3592, 'V6'), (3854, 'N6'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (4444, 'J11'), (4458, 'J14'), (4163, 'L8')
F8          | (3561, 'V20'), (3592, 'F13'), (3694, 'I2'), (4163, 'L8'), (3592, 'V6'), (3854, 'N6'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (3810, 'H17'), (4128, 'S'), (3932, 'L14'), (4444, 'J11'), (4458, 'J14')
V20         | (3592, 'F13'), (3592, 'V6'), (3694, 'I2'), (4163, 'L8'), (3810, 'H17'), (3854, 'N6'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (4458, 'J14'), (4128, 'S'), (3932, 'L14'), (4444, 'J11')
F13         | (3592, 'V6'), (3810, 'H17'), (3694, 'I2'), (4163, 'L8'), (4128, 'S'), (3854, 'N6'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (4458, 'J14'), (4444, 'J11'), (3932, 'L14')
V6          | (3694, 'I2'), (3810, 'H17'), (3854, 'N6'), (4163, 'L8'), (4128, 'S'), (3932, 'L14'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (4458, 'J14'), (4444, 'J11'), (3954, 'S')
I2          | (3810, 'H17'), (3954, 'S'), (3854, 'N6'), (4163, 'L8'), (4128, 'S'), (3932, 'L14'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (4458, 'J14'), (4444, 'J11')
H17         | (3854, 'N6'), (3954, 'S'), (3932, 'L14'), (4163, 'L8'), (4128, 'S'), (4444, 'J11'), (4038, 'T'), (4228, 'R8'), (4355, 'T10'), (4458, 'J14')
N6          | (3932, 'L14'), (3954, 'S'), (4038, 'T'), (4163, 'L8'), (4128, 'S'), (4444, 'J11'), (4458, 'J14'), (4228, 'R8'), (4355, 'T10')
L14         | (3954, 'S'), (4086, 'L'), (4038, 'T'), (4128, 'S'), (4355, 'T10'), (4444, 'J11'), (4458, 'J14'), (4228, 'R8'), (4163, 'L8')
S           | (4038, 'T'), (4086, 'L'), (4163, 'L8'), (4128, 'S'), (4355, 'T10'), (4444, 'J11'), (4458, 'J14'), (4228, 'R8'), (4377, 'V22'), (4652, 'Y15')
T           | (4086, 'L'), (4128, 'S'), (4163, 'L8'), (4228, 'R8'), (4355, 'T10'), (4389, 'X11'), (4458, 'J14'), (4652, 'Y15'), (4377, 'V22'), (4937, 'T2'), (4868, 'V19'), (4444, 'J11'), (4600, 'Y14'), (4498, 'Y18'), (4813, 'Z24')
L           | (4111, 'U2'), (4128, 'S'), (4163, 'L8'), (4331, 'U0'), (4228, 'R8'), (4389, 'X11'), (4458, 'J14'), (4377, 'V22'), (4338, 'M19'), (4355, 'T10'), (4795, 'Y19'), (4444, 'J11'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4652, 'Y15'), (4861, 'N23'), (4813, 'Z24'), (4549, 'P25'), (4937, 'T2'), (4738, 'X6'), (4868, 'V19'), (4837, 'X25'), (4842, 'Z18')
U2          | (4128, 'S'), (4228, 'R8'), (4163, 'L8'), (4331, 'U0'), (4355, 'T10'), (4389, 'X11'), (4458, 'J14'), (4377, 'V22'), (4338, 'M19'), (4738, 'X6'), (4795, 'Y19'), (4444, 'J11'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4652, 'Y15'), (4861, 'N23'), (4813, 'Z24'), (4549, 'P25'), (4937, 'T2'), (4842, 'Z18'), (4868, 'V19'), (4837, 'X25')
S           | (4163, 'L8'), (4228, 'R8'), (4389, 'X11'), (4331, 'U0'), (4355, 'T10'), (4444, 'J11'), (4458, 'J14'), (4377, 'V22'), (4338, 'M19'), (4738, 'X6'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4652, 'Y15'), (4861, 'N23'), (4813, 'Z24'), (4549, 'P25'), (4937, 'T2'), (4842, 'Z18'), (4868, 'V19')
L8          | (4228, 'R8'), (4331, 'U0'), (4389, 'X11'), (4338, 'M19'), (4355, 'T10'), (4444, 'J11'), (4458, 'J14'), (4377, 'V22'), (4549, 'P25'), (4738, 'X6'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4652, 'Y15'), (4861, 'N23'), (4813, 'Z24'), (4868, 'V19'), (4937, 'T2'), (4842, 'Z18')
R8          | (4331, 'U0'), (4338, 'M19'), (4389, 'X11'), (4377, 'V22'), (4355, 'T10'), (4444, 'J11'), (4458, 'J14'), (4652, 'Y15'), (4549, 'P25'), (4738, 'X6'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4842, 'Z18'), (4861, 'N23'), (4813, 'Z24'), (4868, 'V19'), (4937, 'T2')
U0          | (4338, 'M19'), (4355, 'T10'), (4389, 'X11'), (4377, 'V22'), (4738, 'X6'), (4444, 'J11'), (4458, 'J14'), (4652, 'Y15'), (4549, 'P25'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4842, 'Z18'), (4861, 'N23'), (4813, 'Z24'), (4868, 'V19')
M19         | (4355, 'T10'), (4377, 'V22'), (4389, 'X11'), (4549, 'P25'), (4738, 'X6'), (4444, 'J11'), (4458, 'J14'), (4652, 'Y15'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4842, 'Z18'), (4861, 'N23'), (4868, 'V19')
T10         | (4377, 'V22'), (4549, 'P25'), (4389, 'X11'), (4652, 'Y15'), (4738, 'X6'), (4444, 'J11'), (4458, 'J14'), (4842, 'Z18'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4600, 'Y14'), (4498, 'Y18'), (4731, 'M7'), (4868, 'V19'), (4861, 'N23')
V22         | (4389, 'X11'), (4549, 'P25'), (4444, 'J11'), (4652, 'Y15'), (4738, 'X6'), (4600, 'Y14'), (4458, 'J14'), (4842, 'Z18'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4861, 'N23'), (4498, 'Y18'), (4731, 'M7'), (4868, 'V19')
X11         | (4444, 'J11'), (4549, 'P25'), (4458, 'J14'), (4652, 'Y15'), (4738, 'X6'), (4600, 'Y14'), (4498, 'Y18'), (4842, 'Z18'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4861, 'N23'), (4868, 'V19'), (4731, 'M7')
J11         | (4458, 'J14'), (4549, 'P25'), (4498, 'Y18'), (4652, 'Y15'), (4738, 'X6'), (4600, 'Y14'), (4731, 'M7'), (4842, 'Z18'), (4813, 'Z24'), (4937, 'T2'), (4795, 'Y19'), (4837, 'X25'), (4861, 'N23'), (4868, 'V19')
