dictionary size=  100
list element size=  100 

Start value = L  Goal value = N 

Expand Node | Fringe
--------------------
-           | (62, 'L')
L19         | (186, 'P18'), (187, 'P0'), (188, 'A18'), (188, 'V15'), (187, 'T23'), (189, 'E11'), (190, 'Z24'), (203, 'E'), (229, 'M15'), (244, 'T19'), (218, 'U'), (191, 'B11'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3'), (213, 'N2')
P18         | (187, 'P0'), (187, 'T23'), (188, 'A18'), (188, 'V15'), (213, 'N2'), (189, 'E11'), (190, 'Z24'), (203, 'E'), (229, 'M15'), (244, 'T19'), (218, 'U'), (191, 'B11'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3')
P0          | (187, 'T23'), (188, 'V15'), (188, 'A18'), (203, 'E'), (213, 'N2'), (189, 'E11'), (190, 'Z24'), (216, 'E3'), (229, 'M15'), (244, 'T19'), (218, 'U'), (191, 'B11'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2')
T23         | (188, 'A18'), (188, 'V15'), (189, 'E11'), (203, 'E'), (213, 'N2'), (191, 'B11'), (190, 'Z24'), (216, 'E3'), (229, 'M15'), (244, 'T19'), (218, 'U'), (207, 'F14'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7'), (233, 'P2'), (222, 'Y18')
A18         | (188, 'V15'), (203, 'E'), (189, 'E11'), (216, 'E3'), (213, 'N2'), (191, 'B11'), (190, 'Z24'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (218, 'U'), (207, 'F14'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7'), (233, 'P2')
V15         | (189, 'E11'), (203, 'E'), (190, 'Z24'), (216, 'E3'), (213, 'N2'), (191, 'B11'), (204, 'I17'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (218, 'U'), (207, 'F14'), (210, 'I'), (207, 'O'), (233, 'P2'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5'), (234, 'L7')
E11         | (190, 'Z24'), (203, 'E'), (191, 'B11'), (216, 'E3'), (213, 'N2'), (207, 'F14'), (204, 'I17'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (218, 'U'), (234, 'L7'), (210, 'I'), (207, 'O'), (233, 'P2'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N'), (227, 'J5')
Z24         | (191, 'B11'), (203, 'E'), (204, 'I17'), (216, 'E3'), (213, 'N2'), (207, 'F14'), (207, 'O'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (218, 'U'), (234, 'L7'), (210, 'I'), (227, 'J5'), (233, 'P2'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (281, 'J'), (309, 'N')
B11         | (203, 'E'), (213, 'N2'), (204, 'I17'), (216, 'E3'), (218, 'U'), (207, 'F14'), (207, 'O'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (309, 'N'), (234, 'L7'), (210, 'I'), (227, 'J5'), (233, 'P2'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (281, 'J')
E           | (204, 'I17'), (213, 'N2'), (207, 'F14'), (216, 'E3'), (218, 'U'), (210, 'I'), (207, 'O'), (220, 'W5'), (229, 'M15'), (244, 'T19'), (256, 'J7'), (222, 'K0'), (281, 'J'), (214, 'W21'), (232, 'Z15'), (223, 'K9'), (222, 'Y18'), (259, 'Q15'), (232, 'T1'), (305, 'F2'), (360, 'F15'), (320, 'H8'), (309, 'N'), (234, 'L7'), (368, 'T12'), (338, 'U24'), (311, 'V22'), (358, 'W9'), (227, 'J5'), (233, 'P2')
