dictionary size=  10
list element size=  10 

Start value = M  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (1, 'M')
M6          | (21, 'O8'), (23, 'N11'), (24, 'O'), (25, 'K0'), (23, 'Y16'), (25, 'Z12'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (24, 'W13'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'G'), (28, 'F')
O8          | (23, 'N11'), (23, 'Y16'), (24, 'O'), (25, 'K0'), (24, 'W13'), (25, 'Z12'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (28, 'F'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'G'), (30, 'E')
N11         | (23, 'Y16'), (24, 'W13'), (24, 'O'), (25, 'K0'), (27, 'A'), (25, 'Z12'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (28, 'F'), (30, 'E'), (25, 'Z18'), (29, 'H'), (28, 'G')
Y16         | (24, 'O'), (24, 'W13'), (25, 'Z12'), (25, 'K0'), (27, 'A'), (25, 'Z18'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (28, 'F'), (30, 'E'), (28, 'G'), (29, 'H')
O           | (24, 'W13'), (25, 'K0'), (25, 'Z12'), (25, 'X24'), (27, 'A'), (25, 'Z18'), (26, 'K13'), (29, 'H'), (25, 'Z10'), (28, 'F'), (30, 'E'), (28, 'G'), (28, 'Q23'), (35, 'W22'), (35, 'Y24'), (32, 'Z9')
W13         | (25, 'K0'), (25, 'X24'), (25, 'Z12'), (25, 'Z10'), (27, 'A'), (25, 'Z18'), (26, 'K13'), (29, 'H'), (32, 'Z9'), (28, 'F'), (30, 'E'), (28, 'G'), (28, 'Q23'), (35, 'W22'), (35, 'Y24')
K0          | (25, 'X24'), (25, 'Z10'), (25, 'Z12'), (29, 'H'), (27, 'A'), (25, 'Z18'), (26, 'K13'), (35, 'Y24'), (32, 'Z9'), (28, 'F'), (30, 'E'), (28, 'G'), (28, 'Q23'), (35, 'W22')
X24         | (25, 'Z10'), (27, 'A'), (25, 'Z12'), (29, 'H'), (28, 'F'), (25, 'Z18'), (26, 'K13'), (35, 'Y24'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (28, 'G'), (28, 'Q23')
Z10         | (25, 'Z12'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'F'), (28, 'G'), (26, 'K13'), (35, 'Y24'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (28, 'Q23'), (35, 'J')
Z12         | (25, 'Z18'), (27, 'A'), (26, 'K13'), (29, 'H'), (28, 'F'), (28, 'G'), (35, 'J'), (35, 'Y24'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (28, 'Q23')
Z18         | (21, 'K'), (27, 'A'), (26, 'K13'), (29, 'H'), (28, 'F'), (28, 'G'), (35, 'J'), (35, 'Y24'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (28, 'Q23')
K           | (24, 'N10'), (27, 'A'), (26, 'K13'), (28, 'W23'), (28, 'F'), (28, 'G'), (29, 'V19'), (29, 'H'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (28, 'Q23'), (32, 'O1'), (35, 'J'), (30, 'V15'), (35, 'Y24'), (30, 'X8')
N10         | (26, 'K13'), (27, 'A'), (28, 'G'), (28, 'W23'), (28, 'F'), (28, 'Q23'), (29, 'V19'), (29, 'H'), (32, 'Z9'), (35, 'W22'), (30, 'E'), (30, 'X8'), (32, 'O1'), (35, 'J'), (30, 'V15'), (35, 'Y24')
K13         | (27, 'A'), (28, 'F'), (28, 'G'), (28, 'W23'), (30, 'E'), (28, 'Q23'), (29, 'V19'), (29, 'H'), (32, 'Z9'), (35, 'W22'), (35, 'Y24'), (30, 'X8'), (32, 'O1'), (35, 'J'), (30, 'V15')
A           | (28, 'F'), (28, 'W23'), (28, 'G'), (29, 'H'), (30, 'E'), (28, 'Q23'), (29, 'V19'), (30, 'V15'), (31, 'G13'), (35, 'W22'), (35, 'Y24'), (30, 'X8'), (32, 'O1'), (35, 'J'), (34, 'A14'), (42, 'B15'), (43, 'G11'), (32, 'Z9'), (38, 'G15'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23')
F           | (26, 'O13'), (28, 'W23'), (28, 'G'), (29, 'H'), (30, 'E'), (29, 'K3'), (28, 'Q23'), (30, 'V15'), (31, 'G13'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (30, 'X8'), (29, 'V19'), (31, 'Z19'), (42, 'B15'), (43, 'G11'), (32, 'Z9'), (38, 'G15'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (32, 'O1'), (33, 'L7'), (35, 'J'), (35, 'T24'), (34, 'A14')
O13         | (28, 'G'), (28, 'W23'), (28, 'Q23'), (29, 'H'), (30, 'E'), (29, 'K3'), (29, 'V19'), (30, 'V15'), (31, 'G13'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (30, 'X8'), (34, 'A14'), (31, 'Z19'), (42, 'B15'), (43, 'G11'), (32, 'Z9'), (38, 'G15'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (32, 'O1'), (33, 'L7'), (35, 'J'), (35, 'T24')
G           | (27, 'P13'), (27, 'Q18'), (28, 'Q23'), (28, 'N14'), (30, 'E'), (30, 'X8'), (29, 'K3'), (28, 'W23'), (30, 'W9'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (29, 'V19'), (31, 'Z19'), (29, 'H'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (30, 'V15'), (43, 'G11'), (35, 'R2'), (32, 'Z9'), (35, 'U6'), (38, 'G15')
P13         | (27, 'Q18'), (28, 'N14'), (28, 'Q23'), (28, 'W23'), (30, 'E'), (30, 'X8'), (29, 'K3'), (29, 'H'), (30, 'W9'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (29, 'V19'), (31, 'Z19'), (30, 'V15'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (43, 'G11'), (35, 'R2'), (32, 'Z9'), (35, 'U6')
Q18         | (28, 'N14'), (28, 'W23'), (28, 'Q23'), (29, 'H'), (30, 'E'), (30, 'X8'), (29, 'K3'), (30, 'V15'), (30, 'W9'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (29, 'V19'), (31, 'Z19'), (35, 'U6'), (33, 'R3'), (31, 'T23'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (43, 'G11'), (35, 'R2'), (32, 'Z9')
N14         | (28, 'Q23'), (28, 'W23'), (29, 'K3'), (29, 'H'), (30, 'E'), (30, 'X8'), (29, 'V19'), (30, 'V15'), (29, 'N'), (35, 'W22'), (35, 'Y24'), (31, 'H21'), (32, 'O1'), (32, 'Z9'), (31, 'Z19'), (35, 'U6'), (33, 'R3'), (30, 'W9'), (31, 'G13'), (37, 'L5'), (44, 'L15'), (43, 'N9'), (40, 'U6'), (39, 'W3'), (31, 'Z23'), (35, 'T24'), (33, 'L7'), (35, 'J'), (34, 'A14'), (33, 'N20'), (35, 'P5'), (42, 'B15'), (38, 'G15'), (43, 'G11'), (35, 'R2'), (31, 'T23')
